document,reasoning,verdict,policy_clauses
"This case involves an own-volition investigation conducted by the Irish DPA (DPC) into Kildare County Council, the controller. In June 2018, Officers from the Special Investigations Unit of the DPC were authorised to conduct a range of inquiries pertaining to surveillance technologies deployed by state authorities, including An Garda Síochána (the national police) and various local authorities, including Kildare County Council. These inquiries sought to determine whether the data processing was lawful, and also to ensure that full accountability measures for the collection and processing of personal data were in place, in advance of further investment in and deployment of newer surveillance technology.

The investigation into Kildare County Council focused on the following: the legal basis for surveillance technology employed for the purposes of preventing, investigating, detecting or prosecuting crime; the legal basis for surveillance tech deployed for purposes other than preventing, investigating, detecting, or prosecuting crime; appropriate signage and general transparency; and the question of a joint controller agreement between the council and the national police. Furthermore, the authority sought to examine the security measures for traffic management CCTV; housing department CCTV; and the transmission of CCTV footage to An Garda Síochána.","Issuing its final decision, the DPC began by establishing that not all of the processing of personal data in question is regulated by the GDPR. Any processing of personal data for the purposes of prevention, investigation, detection, or prosecution of criminal offences is regulated by the Law Enforcement Directive (LED) supplemented into Irish law by the Irish Data Protection Act 2018 (“the 2018 Act”). The other personal data processing at issue here is covered by the GDPR. For further information and relevant legal provisions, please see Article 2(2)(d) GDPR, Articles 1 and 2 LED, and Part 5 and 6 of the 2018 Act.

The first issue addressed in the DPC’s decision was the legal basis for the surveillance technologies employed for the purposes of preventing, investigating, detecting or prosecuting crime. In particular, this concerned CCTV systems deployed in a number of housing estates and Traveller caravan parks in the area. While the County Council initially submitted that the lawful basis for this processing was Article 6(1)(c) and 6(1)(d) GDPR, after clarifying that the relevant regime is the LED, the DPC sought to examine the justification for processing in light of this Directive and the 2018 Act. The controller sought to rely on its ‘estate management functions’ as set out in domestic housing legislation, and the powers to combat anti-social behaviour afforded therein. In accordance with the 2018 Act, personal data must be processed lawfully and fairly (Section 71(1)(a)) and the processing will only be lawful where the subject has given their consent, or where the processing is necessary for the performance of a function of the controller for a purpose specified in Section 70(1)(a) and the function has a legal basis in the law of the EU or Ireland (Section 71(2)). Furthermore, for special category data, one of the additional nine conditions in Article 73(1)(b) must be met. After examining the case, the DPC found no requirement to support the development of CCTV cameras in the estates as described above. The cited Irish legislation places no requirement upon the local authority to monitor in this way, and makes no reference to CCTV cameras. Furthermore, given that Irish Travellers are an ethnic group, and their accommodation has a distinct design and layout, the activities also represented the illegal processing of special category data. The DPC found an infringement of Sections 71(1)(a) and 73 of the 2018 Act.

With regards to CCTV cameras located on the grounds of 2 supermarkets for the purpose of detecting illegal dumping. The investigation found that these cameras had not been operational before, during or after the investigation, and accordingly the DPC found no violation of the 2018 Act.

Thereafter the DPC decision addressed the second issue: the legal basis for the surveillance technologies employed for purposes other than for preventing, investigating, detecting or prosecuting crime. In particular, the authority investigated CCTV used for: traffic management; the sharing of live feed traffic with An Garda Síochána; and the use of ANPR cameras, which recognise and digitise number plates. With regard to processing for traffic management, the Council sought to rely on the Irish Roads Act 1993, which places obligations upon public authorities to, among other things, provide for the safety or convenience of road users. Accordingly, the council argued they had a lawful basis for processing was in the public interest (Article 6(1)(e) GDPR). The DPC held that, given the significant potential impact to fundamental rights of a widespread video surveillance system, the Roads Act is not sufficiently clear, precise or foreseeable to constitute a valid legal basis for the processing of personal data in accordance with Article 6(1)(e) GDPR. There was also a complete lack of legal basis for the sharing of a live traffic feed with An Garda Síochána. Furthermore, for the use of ANPR cameras to be lawful under Article 6(1)(e) GDPR, it would be necessary for the legislature to specifically grant power to the local authority to carry out such processing in a manner which is clear, precise and foreseeable for the data subjects. As the Roads Act does not explicitly permit such processing, the Council does not have a lawful basis to operate ANPR cameras. In light of the above, the DPC found that the Council had violated Article 5(1)(a) GDPR in all 3 respects.

The third question investigated was the presence of appropriate signage and general transparency. The investigation found that no appropriate signage had been installed to inform data subjects of the use of CCTV for traffic management purposes. Accordingly, the DPC held there had been a violation of Article 13 GDPR.

Regarding the fourth issue, the DPC investigated the question of whether the Kildare County Council could be considered “joint controllers” with respect to Article 26 GDPR. The Decision finds that while An Garda Síochána used the CCTV footage for the prevention of crime, there is no evidence that the two entities “jointly” determined the purposes of processing. In other words, there is no connection between the Council’s decision to use the cameras for traffic management purposes and An Garda Síochána’s decision to then use the live feed for monitoring and preventing crime. Accordingly, the Council has not violated Article 26 GDPR.

The DPC also made a number of findings regarding the security measures implemented by the Council. The Council failed to maintain a data log that recorded which users had accessed the CCTV cameras, thereby infringing Article 32(1) GDPR. The Council also violated Sections 71(1)(f), 72(1) and 78 of the 2018 Act by failing to implement appropriate technical or organisational security measures when installing the CCTV cameras. Furthermore, by failing to keep a data log, the Council also violated Section 82(2) of the 2018 Act. The Council also infringed Section 71(1)(c) and Section 76(2) of the 2018 Act by recording CCTV of private properties, in the absence of any privacy masking technology. Additionally, the Council infringed Section 71(10) of the 2018 Act by failing to be in a position to demonstrate that its processing of personal data via CCTV cameras at one location was not excessive to its purpose of preventing anti-social behaviour. Finally, The Council infringed its obligations under Sections 71(1)(f), 72(1) and 78 of the 2018 Act in connection with arrangements surrounding the transfer of personal data to An Garda Síochána using unencrypted USB sticks.

Exercising its corrective powers, the DPC imposed a temporary ban on the processing of personal data with CCTV for the purposes of criminal law enforcement and traffic management, until a legal basis can be identified. Furthermore, they imposed an order for Kildare County Council to bring its processing into compliance with the legislation, and imposed an administrative fine of €50,000.",NONCOMPLIANT,"Article 2, Article 5, Article 6, Article 13, Article 26, Article 32, Article 58, Article 83"
"A Romanian political party (Alianța pentru Unirea Românilor) had a membership form on its website. When a person filled in the form and signed it, their data was collected (name, address, phone number, ID card number...). One person reported this to the Romanian DPA, which opened an investigation.","As a result of its investigation, the DPA found that the data of a large number of individuals had been collected and processed in violation of the principle of data minimisation, resulting in a breach of Articles 5(1)(c) and 5(2) GDPR. Consequently, it fined the party RON49,115 (approximately Є10,000).",NONCOMPLIANT,Article 5
"The political party Partidul Uniunea Salvați România (Controller) reported to the DPA that as a result of a cyber-attack, the data it stored on an application server had been lost. The data included surnames, first names, email addresses, telephone numbers and political affiliation data.","The DPA considered that the controller did not take appropriate technical and organisational measures to ensure data security. It gave the example of encryption or pseudonymisation. As a result, it found a violation of Article 32(1) and 32(2) GDPR and imposed a fine of RON19,646 (approximately Є4,000).",NONCOMPLIANT,Article 32
"Commify Italia s.r.l. (controller) offers to business customers the service available at the Skebby platform (www.skebby.it) by which text messages can be sent via a web application or through application programming interfaces.

The Italian DPA carried out inspection activities at the controller place of business on several occasions: in 2018 as a result of a data breach notified by a client of the controller. In 2019 as a result of additional documentation provided by the controller and a complaint from which it emerged the potential unlawful storage of the content of text messages sent through the platform. Precisely with regard to the lawfulness of the procedures adopted regarding the storage of the content of text messages sent, in 2021 the DPO of a client company requested the intervention of the Italian DPA. As a result, the Italian DPA carried out a further inspection to verify the functioning of the platform.

The inspection revealed that:

•	The controller stored in its systems the content of messages sent by its customers, which also included special categories of personal data (such as, reservations for health services, messages sent by political parties to their members). The controller justified this retention on the grounds that the content of the messages was to be considered traffic data in accordance with Article 121(1-bis)(h) of Legislative Decree no. 196 of 30 June 2003 (the Italian Data Protection Code) with the consequent obligation to retain them pursuant to Articles 123 and 132 of the Code.

•	With regard to the technical and organisational measures taken by the controller, it appeared that the traffic data (including the content of text messages) were stored in the controller's systems without any physical or logical distinction according to the purpose of retention (e.g. crime prevention and prosecution, billing, making the text available to the customer for consultation). Consequently, there was also no differentiation of retention periods according to each purpose. Access to these systems was possible for authorised personnel by means of one-factor authentication (e.g. username and password). The controller had not adopted any system for keeping track of the operations performed on the systems by persons acting under its authority. Finally, the transmission of data between the computer systems of some customers and the controller took place using insecure communication protocols (http), thus exposing the transmitted data to risks of unlawful acquisition or manipulation.

•	The controller performed automated checks on the content of messages sent by its customers in order to prevent fraudulent use of the service. To this end, it used preventive analysis systems by means of detection algorithms (URL, domain, keywords), blocking the sending of messages if potential fraudulent content was detected in the alias (alphanumeric string that identifies the sender instead of the telephone number), or in the text (e.g. in the case of links not expressly requested by the customer or for which the customer was not authorised, as well as in the presence of prohibited keywords).","Firstly, the Italian DPA rejected the objection raised by the controller that the notification of the infringements was untimely served. According to the controller, the notice of the opening of the sanctioning procedure was notified 146 days after the last inspection and 1223 days after the first one. According to the Italian DPA, on the other hand, the act would have been notified within the timeframe provided for by the authority's internal regulation no. 2/2019, which states that the notification of the opening of the sanctioning procedure must take place within 120 days from the inspection. According to the Italian DPA, the inspection takes place not at the moment of acquisition of the documents, but from the moment when the authority, having examined the documents, is able to form its own judgement.

According to the Italian DPA, the controller would qualify as a provider of electronic communication services accessible to the public because of the specific characteristics of the services offered, similar in result to traditional telecommunication services although provided through a different technology. According to the Italian DPA, the processing carried out through the platform concerned data relating to a ""telematic"" service, which also involved the processing of personal data (including special categories of personal data) of natural persons to whom the text messages were sent. Consequently, the Italian DPA applied the GDPR and the rules on electronic communications contained in the Code.

According to the Italian DPA, the security measures, both technical and organisational, adopted by the controller were not adequate to the risk involved in the processing. The controller should have taken at least the measures specified in the Italian DPA's general resolution of 17 January 2008 (web doc. no. 1482111). The controller's conduct constituted a breach of Articles 5(1)(f) and 32 GDPR and Articles 123, 132 and 132ter of the Code.

Contrary to what was claimed by the controller, the Italian DPA denied that the content of the text messages was subject to any retention obligation imposed by law under the combined provisions of Articles 121, 123 and 132 of the Code. On the contrary, the storage of such data was expressly prohibited unless authorised by the user with specific consent for the provision of value-added services pursuant to Article 123(3) of the Code. The Italian DPA observed that the definition of 'traffic data' proposed by Article 121 Code would be too general to be considered in isolation and should therefore be complemented by Articles 123 and 132 Code. Article 123 would allow the retention of traffic data for billing purposes: the content of the messages would have no relevance to that purpose and therefore their retention could not be justified by this provision of law. Article 132 would allow retention for the purpose of investigating and prosecuting crimes, but expressly excluded the possibility of retaining the content of communications. The Italian DPA specified that the content of the text messages could have been retained for the provision of value-added services, but that the case at hand could not be brought within this hypothesis. Retention for that purpose was in fact only possible with the consent of the user. In the present case, no consent was required from the customer since the controller imposed such retention through the contractual terms and conditions of the service. Moreover, access to this data should have been allowed only to the user and not also to the controller's employees. Instead, the content of the messages was accessible to the controller's employees and was made available to the customer only upon specific request. The Italian DPA concluded by observing that the storage of the content of the communications had been carried out in the absence of an appropriate legal basis and that the controller had consequently also infringed the principles of purpose limitation and data minimisation since the content of the messages, which in the absence of the user's consent should have been deleted after being sent, was retained without need for purposes other than those which had given rise to the original processing. For these reasons, the Italian DPA found a breach of Articles 5(1)(a), (b) and (c) and 6 GDPR and of Articles 123 and 132 of the Code.

With regard to the scanning of the content of the communications in order to prevent fraudulent use of the services, with immediate blocking of the dispatch by the control systems, the Italian DPA observed that a processing so prejudicial to the freedoms of the data subjects could not be justified by the need to protect an interest of the controller. The interest pursued by the controller, consisting in the desire to avoid indirect involvement in judicial activities, would have been merely hypothetical and in any case related to normal business risk. The Italian DPA noted that the controller had not carried out any assessment as to the balancing of the interests involved in such processing, since the controller had merely considered its actions to be in line with standard market practices and had only generically invoked a legitimate interest in its statement of defence of 4 May 2022. According to the Italian DPA, that processing was unlawful because the controller had not identified any legal basis that could justify it, in breach of Articles 5(1)(a) and 6 GDPR.

Finally, the Italian DPA found a violation of Article 25(1) and (2) GDPR because the controller had not adopted adequate measures and safeguards to implement the principles of 'lawfulness, fairness and transparency', 'purpose limitation', 'data minimisation' and 'integrity and confidentiality'.

As a result of the corrective measures already taken by the company, the Italian DPA did not impose any corrective measure on the controller, and only issued two warnings regarding violations arising from automated monitoring of text messages for anti-fraud purposes and for violations of the principles of privacy by design and by default. The Italian DPA also applied a fine of €80,000 for the violations found.",NONCOMPLIANT,"Article 5, Article 6, Article 25, Article 32"
"A data subject made an objection request to marketing communications received from a fashion retailer (the controller). The controller indicated that it would comply with the request, but continued sending marketing communications to the data subject.

The data subject filed a complaint with the Romanian DPA which started an investigation on that matter.

The investigation revealed that, in order to exercise their right, the data subject had to submit a written, dated and signed request. Moreover, it revealed that the information notice did not cover the information on data recipients, retention terms or the right to lodge a complaint to the DPA.","The DPA found that by requiring to the data subject to submit his request in a written, signed and dated form, the controller imposed excessive conditions for the exercise of the data subjects' rights, in breach of Articles 12. Also, the DPA found that the data controller violated Article 13 GDPR since the information notice did not provide complete, correct, accurate, and updated information.

The DPA imposed a fine of RON 9871 (approximately €2000) for these violations. In accordance with Article 58(2)(d) GDPR, the DPA also imposed corrective measures.

First, the DPA ordered the data controller to facilitate the exercise of data subjects' rights by removing the excessive condition of requesting the data subjects to submit a ""written, dated and signed"" request, when exercising their rights.

Second, it ordered the controller to take appropriate measures in order to comply with the GDPR provisions, so that, in the future, the personal data used for direct marketing will only be processed based on the data subject's consent, to implement related internal procedures in this respect and to amend the relevant sections on the website to reflect such flow.

Third, the DPA ordered the data controller to amend its information notice, in order to provide the data subjects complete, correct, accurate and updated information in respect to the processing of their data.",NONCOMPLIANT,"Article 12, Article 13"
"The Padua University Hospital notified the Italian DPA of a personal data breach pursuant to Article 33 GDPR. The hospital accidentally sent to all the patients involved in a clinical trial an email in which the patients' email addresses were not put in BCC (blind carbon copy) but in CC (carbon copy), unintentionally making known the email addresses of all patients waiting for heart transplant.

In order to remedy the violation and reduce its negative effects on the people involved, instructions were given to inform each individual concerned about the mistake, urging them delete the email previously sent and not to use the email addresses of other recipients.

The Italian DPA investigated whether the processing of personal data of the email recipients was in violation of the basic principles set out in Article 5 GDPR.

The hospital argued that the seriousness of the potential impact for the interested parties was average, considering that the health data - the existence of a scheduled heart transplant - were isolated and common to all the interested parties and not accompanied by any other sensitive data. Furthermore, out of 19 email addresses only 7 were recognizable, while the other 12 were not immediately traceable to the account holder. The hospital further argued that the violation was partly due to the COVID – 19 pandemic and the shortage of staff. Finally, the hospital stated that the author of the violation certainly did not benefit from the violation and no complaints were received from the data subjects following breach notification to the data subjects.

The hospital also provided for the technical and organizational measures to be carried out in order to prevent data breaches in the future. These included staff training on the use of telematic tools in in the communication with patients.","The DPA found that the arguments put forward by the controller were not sufficient to drop the case.

In the first place, email addresses in themselves fall within the notion of personal data and are therefore subject to the GDPR. Moreover, the DPA held that it could be implied from the context of the email communication that the recipients were patients waiting for a heart transplant. The sending of the aforementioned communication by means of a single email message addressed to multiple recipients, to the extent that the addresses were not encrypted with BCC, did in fact reciprocally disclose to the recipients of the same communication the state of health of the other patients.

For these reasons, the DPA declared the unlawfulness of the processing and a violation of the basic principles set out in Articles 5(1)(f) and 9 GDPR.

Pursuant to Articles 58(2)(i) and 83(5) GDPR, the DPA issued an administrative sanction of €5,000.

Considering that the hospital adopted further measures deemed necessary to prevent similar occurrences in the future, the conditions for the adoption of other corrective measures, as provided for in Article 58(2) GDPR were not met.",NONCOMPLIANT,"Article 5, Article 9, Article 33, Article 58, Article 83"
"Between 21 May and 14 June 2021, Argon Medical Devices, Inc. (the controller) experienced a cyber security incident. It was discovered on 14 June 2021 when the controller's US Senior Vice President of Human Resources noticed missing emails in his inbox.

Upon further investigation, the controller determined that it had been subject to a business email compromise, perpetrated through an internal platform by an unauthorized third party, most likely through a phishing email. Consequently, the Director of Global IT Security put in place several cyber security measures, which appear to have contained the incident on 14 June 2021.

On 15 June 2021, they reported the incident to the local FBI Cybercrime Unit in the US and commenced an internal investigation to determine the extent and nature of the incident.

On 19 July 2021 they realized that personal data such as salary and benefits of all of their (20) European employees, including one in Norway, had been affected, and proceeded to assess whether the incident was reportable under Article 33(1) GDPR.

On 24 September 2021, after concluding that the incident was indeed reportable, the controller hired a Norwegian law firm to notify the Norwegian DPA. Since the controller has several establishments in the EU/EEA, they also sent similar breach notifications to several other European supervisory authorities.

In this regard, they acknowledged that “Argon in the US [i.e., Argon Medical Devices, Inc.] is the data controller with respect to the personal data connected to this Incident”. They also stated that their ""European head office resides in Switzerland, and only its Swiss establishment enjoys a power of direction and control over its other EU/EEA establishments. Therefore, Argon does not have a main establishment in the EU/EEA for the purposes of Article 4(16) GDPR.""

Consequently, the DPA concluded that the cooperation mechanism and procedure set out in Article 56(1) GDPR and Article 60 GDPR did not apply in this case and, thus, pursuant to Article 55(1) GDPR, the DPA was competent to perform the tasks assigned to them and exercise the powers conferred on them by the GDPR in relation to the personal data breach notification. The controller did not dispute this in their written representations.

On 4 October 2021 the DPA sent the controller a request for further information and asked them to, in particular, clarify why they concluded that the incident was reportable only on 21 September 2021.

The controller held that they had acted ""without undue delay, to notify the supervisory authorities within 72 hours"". Their main claim was that it was necessary to investigate the incident in order to determine if it was reportable or not, which they were only able to conclude on 21 September 2021.

On 31 January 2022, the DPA sent the controller an advance notification of their intention to fine them NOK 2 500 000 for having violated Article 33(1) GDPR. Despite several exchanges where the controller continued to argue they had indeed sent the notification in time, the DPA upheld their conclusion and issued the final decision on 8 March 2023.

The controller then appealed the decision to the Norwegian Privacy Appeals Board, where it's currently pending.","Pursuant to Article 58(2)(i) GDPR and Article 83(4)(a) GDPR, the DPA imposed an administrative fine of €220,337 (NOK 2 500 000) against Argon Medical Devices, Inc. for violating Article 33(1) GDPR by failing to notify a personal data breach without undue delay.",NONCOMPLIANT,"Article 33, Article 58, Article 83"
"This case concerns the Bank of Ireland (BOI) (the controller) and a data breach on the “BOI365” online banking platform. Between 30 January 2020 and 6 May 2020 the Irish DPA (DPC) received ten personal data breach notifications. In six of these breaches, unauthorised persons gained access to customer accounts online as a result of bank staff not following procedures correctly. The other four breaches were a result of flaws in the customer information system.

On 12 August 2020, the DPC commenced an inquiry and the controller provided submissions on 25 November 2022 concerning: risk; methodology for assessment; testing; training and quality assurance; and categorisation of BOI’s actions.","Issuing its decision, the DPC sought to determine whether the BOI has infringed Article 5(1)(f) GDPR and Article 32 GPDR in respect of its processing of personal data via the “BOI365” Service. The DPC’s holding addressed two main issues, the assessment of the risks and the appropriate level of security.

Firstly, concerning the assessment of risks, the controller had argued that up until this instance, as far as they were aware, there had never been an instance of fraud or identity theft arising from these types of events. Therefore, in assessing the risk, it had appeared that it was only a potential harm. However, the DPC  dismissed this argument, finding that, even if the risk had not materialised into a harm previosuly, this does not reduce the severity of the risk itself. They found that there is a high risk of fraud and identity theft, particularly to vulnerable users, and that these risks are heightened further by the large quantity of data stored on the platform. Overall, in terms of severity, the processing on the BOI365 platform posed a high risk to the rights and freedoms of data subjects.

Secondly, regarding the appropriate level of security, it has held that BOI had a range of Data Protection Governance policies and procedures in place to ensure the integrity and security of customers’ personal data. However, these policies and procedures did not include additional controls to minimise the possibility of human error occurring. Furthermore, the DPC found that, while training should be informed by the risks arising from the processing activities, the issues associated with merging customer accounts were not explained to staff in detail. In addition, the data governance policies did not include additional controls to prevent human error. Regarding security measures, there was a lack of testing the measures in place, and an absence of organisational oversight.

In light of the above, the DPC found that BOI had infringed the principle of integrity and confidentiality of Article 5(1)(f) GDPR and Article 32(1) GDPR by failing to ensure appropriate security of the personal data related to its customer accounts. In accordance with Article 58(2) GDPR, the DPC issued an order to bring processing into compliance, reprimanded the controller for the violations, and imposed an administrative fine of €750,000.",NONCOMPLIANT,"Article 5, Article 32"
"The data subject was the victim of a crime that was being covered by the media in Spain. During the case trial, the the data subject gave a testimony reporting the details of the crime. Telecinco, the controller, and other media channels, released the original audio without distorting the data subject's voice.

The DPA initiated an investigation after a complaint was filed and ordered the controller to remove the data subject's voice from their website. In response, the controller argued that the mere hypothetical possibility of singling out an individual is not sufficient to consider the person as identifiable. In their view, taking into account all the means that may reasonably be used by the controller or any other person, such a possibility does not exist or is either negligible. Therefore, the voice cannot be considered as personal data. It also claimed that the original source of the data was the Court, which distributed the recording to all media channels without applying any prior voice distortion or giving any instructions in this regard. Finally, it alleged that coverage of crimes is of public interest and that restricting the publication would infringe their right to freedom of expression.","The DPA stated that the voice is personal data since it enables the identification of an individual, regardless of the number of persons who may recognise it. It emphasized that it is an individual attribute defined by its pitch, intensity and timbre. According to the DPA, the voice is endowed with unique and singular distinctive features that makes it possible to infer not only the person's age, sex and state of health but also their way of being, culture, origin and their hormonal, emotional and psychic state. In this sense, elements of expression, idiolect or intonation are also personal data considered together with the voice. It highlighted that, in line with Recital 75 GDPR, risk must be interpreted as any circumstance that may give rise to a damage, without the need for this damage to materialise.

In the case at hand, there was a high risk that the victim would be identified at the very least in their closest circle and then subjected to a second victimization. The DPA clarified that the object of the investigation was the dissemination of the victim's voice by the media and not other data processings such as those carried out by the Court. It reaffirmed the position of Telecinco as a controller since it decided what data to publish and how. It noted that where there is a ""processing chain"", i.e. different and subsequent processing operations carried out by different controllers, each controller is responsible for the decisions it takes in its own sphere with regard to its processing. They cannot rely on what the previous controller did in order to be exempted from liability, just as they will not be held liable for the decisions taken by the controller further down the chain.

Finally, it recalled a decision from the Spanish Constitutional Court (27/2020), in which it analyzed whether the non-consensual reproduction of the image of an anonymous person who suddenly and involuntarily acquired a role in a newsworthy event, in this case as a victim, violated their individual rights. The Court held the limit of freedom of expression and access to information lies in the individualisation, direct or indirect, of the victim, as this data neither in the public interest nor relevant to the information provided. Likewise, the DPA found that although the facts under analysis were relevant for the general public, the identity of the victim was not, particularly because they are not a public figure.

Therefore, the DPA found that the controller processed data which were excessive for the purpose of informing the public and fined it €50,000 for violating Article 5(1)(c) GDPR.",NONCOMPLIANT,Article 5
"Hackers invaded the information systems of the accommodation service provider Forenom, the controller. They gained access to a database containing approximately 165.000 personal details of the controller's customers. After receiving complaints from affected data subjects, the Finnish DPA  launched investigations to ascertain the circumstances of the data leak. When asked to comment on the facts, the controller argued that the type of data collected depended on the group to which the person belonged, whether tenant, owner or company contacts. As for the data retention period, landlord and tenant information were kept for 10 years from the end of the tenancy or contract, while customer relationship management data were kept for 5 years since the last activity. According to the controller, long-term apartment rentals play a significant role in its business. Therefore, they found it necessary to keep the data to respond to eventual compensation claims that, based on the national Accounting Act, can be made within a 10-year time limit. After this period, the data were either deleted or anonymized.","The DPA held that  the data controller did not comply with the data minimization principle nor with the storage limitation principle. It emphasized that not all accommodation and tenancy information would fall under the scope of the the Accounting Act and that the controller did not provide a clear explanation of which data was being retained for 10 years and why. According to the DPA, the controller must also implement appropriate technical and organizational measures to ensure by default that only necessary personal data were being processed for the purpose of responding to eventual damage claims. It recalled that this obligation applies not only in relation to the amount of personal data collected, but also to the storage time and the availability of the data.  Finally, the DPA stated that the controller failed to assess the possible risks involved in retaining such data and to take appropriate technical and organizational security measures to prevent these risks.  Consequently, the DPA found a violation of Article 5(1)(c) and (e), Article 25(2), Article 32(1)(d) and Article 32(2) GDPR.",NONCOMPLIANT,"Article 5, Article 25, Article 32"
"On 17 July 2020, the Luxembourg DPA opened an investigation at Company A, operator of a website and mobile application, to verify the compliance of its activities with Articles 12(1), 13 and 14 GDPR. The investigation focused on the users of the website and mobile application and not on the employees.

The investigation showed that

* the privacy policy mentioned processing operations that were not actually carried out; 
* the privacy policy was not available on all the pages on which the company collected data; 
* regarding the mobile app, no privacy policy was available before the download and once the application was installed, the privacy policy was not easily accessible;
* the privacy policy was only available in two languages, whereas the website was available in three languages; and
* the privacy policy did not mention the length of time for which the data would be kept or the right to restrict processing.

The controller replied that the unavailability of the information was due to the attitude of the service provider who managed his site and application.","The DPA considered that the privacy policy, by mentionning certain processing operations that were actually not carried out, did not reflect reality and that the controller did not provide the required information in a comprehensible manner, in clear and simple terms, in violation of Article 12(1).

It also found a lack of information, in breach of Articles 13(2)(a) and 13(2)(b): the information regarding the length of time the data will be kept was missing for certain processing activities. Concerning the rights of the data subjects, there was no information about the right to restrict.

The DPA therefore, in accordance with Article 58(2) and taking into account the measures already implemented by the company, imposed a fine of Є3,700 and ordered the controller to update its privacy policy to comply with the requirements of Article 12(1).",NONCOMPLIANT,"Article 12, Article 13, Article 58"
"During a recruitment procedure, an employee of the Bank of Italy (the controller) accidentally sent an email to 500 participants, where the email address of each of the candidates was clearly visible. By using the carbon copy (CC) instead of the blind carbon copy (BCC) option, the employee disclosed the email addresses of the job applicants to one another.

The email in question contained general information including a feedback request. The employee did not inform the office in charge of data protection and the participants did not raise any complaints. Consequently, in the immediate aftermath of the event, the Bank could not activate a data breach procedure, which provides for the involvement of the DPO and other staff members responsible for compliance with the GDPR and the relevant national legislation.

When the controller became aware of the breach, it sent another email to the job applicants instructing them to delete the email containing the visible addresses and not to use them or disclose them to third parties. The controller also argued that the event was an isolated one and it did not reflect the organisational measures that the Bank of Italy applies to the protection of personal data.

The Italian DPA investigated the matter.","The Italian DPA held that the Bank violated the provisions of Article 5(1)(a) and Article 6 GDPR.

The DPA held that the email addresses were personal data because the participants could be identifiable through the said email addresses (Article 4(1) GDPR). By disclosing such information, the Bank of Italy had realised a processing operation (Article 4(2) GDPR) in lack of any legal basis.

However, the DPA considered the fact that the controller implemented measures on a technical and organizational level and that this it was the first violation. Moreover data disclosed did not fall under special categories of data pursuant to Article 9 GDPR. Therefore, the DPA concluded that the circumstances of the infringement qualified it as a minor violation as defined in Recital 148 GDPR and issued a reprimand pursuant to Article 58(2)(b) GDPR.",NONCOMPLIANT,"Article 5, Article 6"
"The Italian DPA after receiving complaint from Inder Kahlon on 24th February 2023 (Numero protocollo: 0033835) opened an investigation concerning ChatGPT, an AI service offered by the American company OpenAI. The investigation focused on three main areas.

First, the controller did not provide the data subjects whose personal data had been collected through the Internet with appropriate information about the processing.

Second, the DPA found that ChatGPT final outcome – its “answers” – despite based also on personal data and thus often containing personal data, did not always represent reality in an accurate way.

Finally, the investigation showed that OpenAI did not adopt any measure to check that users were above the minimum age requirement of 13 years.","The Italian DPA held that the controller did not comply with its obligation to provide data subjects with a privacy policy pursuant to Article 13 GDPR.

Moreover, the collection of personal data and their use in the training of ChatGPT algorithms were undertaken in lack of a proper legal basis,in violation of Article 5 and 6 GDPR.

Concerning specifically data of people other than the users, namely those data subjects whose data were collected on the internet, the DPA found that the algorithms behind the functioning of ChatGPT did not guarantee the principle of accuracy as enshrined in Article 5(1)(d).

Finally, the DPA also considered that the lack of any mechanism to check the age of the users entailed a violation of Article 8 GDPR.

In light of the above and in the context of an urgency procedure, the DPA imposed on OpenAI a temporary limitation of processing pursuant to Article 58(2)(f) GDPR. Such limitation concerns all processing operations involving data subjects on the Italian territory.",NONCOMPLIANT,"Article 5, Article 6, Article 8, Article 13"
